date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:05:01	178977/178977	---M-Z	200	added ('OK')	text/html	date:Mon,%2024%20Feb%202025%2009:05:00%20GMT	https://www.chungdd.online/mau5	/home/chungdd@kaopiz.local/websites/chung2/www.chungdd.online/mau5.html	(from )
16:05:04	163/163	---M-Z	200	added ('OK')	text/plain	etag:%2277B77F6%22	https://www.chungdd.online/robots.txt		(from )
16:05:04	396/396	---M--	200	added ('OK')	image/webp	etag:29e89904320fc7576df22b816f68a2b559669946ae5db6db782b6c8d.jpg	https://content.pancake.vn/1/s50x50/fwebp/28/ba/ba/88/29e89904320fc7576df22b816f68a2b559669946ae5db6db782b6c8d.jpg	/home/chungdd@kaopiz.local/websites/chung2/content.pancake.vn/1/s50x50/fwebp/28/ba/ba/88/29e89904320fc7576df22b816f68a2b559669946ae5db6db782b6c8d.jpg	(from https://www.chungdd.online/mau5)
16:05:05	8/8	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2024%20Feb%202025%2009:05:05%20GMT	https://statics.pancake.vn/	/home/chungdd@kaopiz.local/websites/chung2/statics.pancake.vn/index.html	(from https://www.chungdd.online/mau5)
16:05:05	8/8	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2024%20Feb%202025%2009:05:05%20GMT	https://content.pancake.vn/	/home/chungdd@kaopiz.local/websites/chung2/content.pancake.vn/index.html	(from https://www.chungdd.online/mau5)
16:05:05	18/18	---M--	404	error ('Not%20Found')	text/plain	date:Mon,%2024%20Feb%202025%2009:05:05%20GMT	https://analytics.tiktok.com/i18n/pixel	/home/chungdd@kaopiz.local/websites/chung2/analytics.tiktok.com/i18n/pixel.2.delayed	(from https://www.chungdd.online/mau5)
16:05:06	1561/1561	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2024%20Feb%202025%2009:05:06%20GMT	https://fonts.gstatic.com/	/home/chungdd@kaopiz.local/websites/chung2/fonts.gstatic.com/index.html	(from https://www.chungdd.online/mau5)
16:05:06	1621/1621	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2024%20Feb%202025%2009:05:06%20GMT	https://fonts.googleapis.com/	/home/chungdd@kaopiz.local/websites/chung2/fonts.googleapis.com/index.html	(from https://www.chungdd.online/mau5)
16:05:06	1620/1620	---M--	200	added ('OK')	text/html	date:Mon,%2024%20Feb%202025%2009:05:06%20GMT	https://a.pancake.vn/	/home/chungdd@kaopiz.local/websites/chung2/a.pancake.vn/index.html	(from https://www.chungdd.online/mau5)
16:05:06	583517/583517	---MCZ	200	added ('OK')	text/html	date:Mon,%2024%20Feb%202025%2009:05:05%20GMT	https://www.youtube.com/	/home/chungdd@kaopiz.local/websites/chung2/www.youtube.com/index.html	(from https://www.chungdd.online/mau5)
16:05:07	0/0	---M--	200	added ('OK')	text/html	date:Mon,%2024%20Feb%202025%2009:05:07%20GMT	https://analytics.tiktok.com/api/v2/pixel	/home/chungdd@kaopiz.local/websites/chung2/analytics.tiktok.com/api/v2/pixel.3.delayed	(from https://www.chungdd.online/mau5)
16:05:08	373/373	---M--	200	added ('OK')	image/svg+xml	etag:9ec72c8ce8898050035dddbb989c950bc1faabdc1fdcc11175dea467.svg	https://content.pancake.vn/1.1/30/5a/c2/93/9ec72c8ce8898050035dddbb989c950bc1faabdc1fdcc11175dea467.svg	/home/chungdd@kaopiz.local/websites/chung2/content.pancake.vn/1.1/30/5a/c2/93/9ec72c8ce8898050035dddbb989c950bc1faabdc1fdcc11175dea467.svg	(from https://www.chungdd.online/mau5)
16:05:09	93849/93849	---M--	200	added ('OK')	image/jpeg	etag:afdbc7f3706a1ec7ccf73819e2d30d3e4e9819b313d0be57b9f57610.jpg	https://content.pancake.vn/web-media/0a/54/8a/80/afdbc7f3706a1ec7ccf73819e2d30d3e4e9819b313d0be57b9f57610.jpg	/home/chungdd@kaopiz.local/websites/chung2/content.pancake.vn/web-media/0a/54/8a/80/afdbc7f3706a1ec7ccf73819e2d30d3e4e9819b313d0be57b9f57610.jpg	(from https://www.chungdd.online/mau5)
16:05:10	25522/25522	---M--	200	added ('OK')	image/webp	etag:f9ca08165577556ed2df053b0962a0e8e670490844d7ad5e84fa48b2.png	https://content.pancake.vn/1/s1380x536/fwebp/cf/cf/28/5f/f9ca08165577556ed2df053b0962a0e8e670490844d7ad5e84fa48b2.png	/home/chungdd@kaopiz.local/websites/chung2/content.pancake.vn/1/s1380x536/fwebp/cf/cf/28/5f/f9ca08165577556ed2df053b0962a0e8e670490844d7ad5e84fa48b2.png	(from https://www.chungdd.online/mau5)
16:05:11	32454/32454	---M--	200	added ('OK')	image/webp	etag:png.png	https://content.pancake.vn/1/fwebp/e2/bc/35/38/dc2d9ddf74d997785eb0c802bd3237a50de1118e505f1e0a89ae4ec1-w:592-h:1280-l:497233-t:image/png.png	/home/chungdd@kaopiz.local/websites/chung2/content.pancake.vn/1/fwebp/e2/bc/35/38/dc2d9ddf74d997785eb0c802bd3237a50de1118e505f1e0a89ae4ec1-w_592-h_1280-l_497233-t_image/png.png	(from https://www.chungdd.online/mau5)
16:05:13	17/17	---M--	302	error ('Found')	text/html	date:Mon,%2024%20Feb%202025%2009:05:12%20GMT	https://www.dropbox.com/scl/fi/npl919xx2edzgxl3ba7np/ytmp3free.cc_em-dong-y-i-do-duc-phuc-x-911-x-khac-hung-official-music-video-valentine-2023-youtubemp3free.org-mp3cut.net-_out.mp3?rlkey=ixwf520pz6evxa3nz48odi3rn&st=xmn9p1dz&&raw=1	/home/chungdd@kaopiz.local/websites/chung2/www.dropbox.com/scl/fi/npl919xx2edzgxl3ba7np/ytmp3free.cc_em-dong-y-i-do-duc-phuc-x-911-x-khac-hung-official-music-video-valentine-2023-youtubemp3free.org-mp3cut.net-_out.8f5dd.delayed	(from https://www.chungdd.online/mau5)
16:05:13	2310/2310	---MC-	200	added ('OK')	text/css	date:Mon,%2024%20Feb%202025%2009:05:13%20GMT	https://fonts.googleapis.com/css?family=Roboto:100,300,400,700,900|Barlow:100,300,400,700,900|Arial:100,300,400,700,900&display=swap	/home/chungdd@kaopiz.local/websites/chung2/fonts.googleapis.com/css104e.css	(from https://www.chungdd.online/mau5)
16:05:14	100433/100433	---M-Z	200	added ('OK')	text/css	etag:%2229A2C33%22	https://api.webcake.io/animate/animatev4.css?v=1	/home/chungdd@kaopiz.local/websites/chung2/api.webcake.io/animate/animatev43860.css	(from https://www.chungdd.online/mau5)
16:05:15	654/654	---M-Z	200	added ('OK')	text/css	etag:%221395858%22	https://api.webcake.io/render_iconfont/iconfont.css?v=1	/home/chungdd@kaopiz.local/websites/chung2/api.webcake.io/render_iconfont/iconfont3860.css	(from https://www.chungdd.online/mau5)
16:05:22	488955/488955	---M-Z	200	added ('OK')	text/html	date:Mon,%2024%20Feb%202025%2009:05:20%20GMT	https://www.chungdd.online/webcake/v4/a492f731-fcb6-4446-b229-0e29ade16dbe?v=1	/home/chungdd@kaopiz.local/websites/chung2/www.chungdd.online/webcake/v4/a492f731-fcb6-4446-b229-0e29ade16dbe3860.html	(from https://www.chungdd.online/mau5)
16:05:22	35/35	---M--	200	added ('OK')	image/gif	date:Mon,%2024%20Feb%202025%2009:05:22%20GMT	https://www.chungdd.online/page_view.gif?pid=da91df3f-b3b4-4d81-b753-30c369a7feca	/home/chungdd@kaopiz.local/websites/chung2/www.chungdd.online/page_view1fe7.gif	(from https://www.chungdd.online/mau5)
16:05:25	8/8	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2024%20Feb%202025%2009:05:24%20GMT	https://statics.pancake.vn/robots.txt		(from https://www.chungdd.online/mau5)
16:05:26	8/8	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2024%20Feb%202025%2009:05:25%20GMT	https://content.pancake.vn/robots.txt		(from https://www.chungdd.online/mau5)
16:05:27	349/349	---M-Z	200	added ('OK')	text/plain	date:Wed,%2022%20May%202024%2022:38:00%20GMT	https://www.youtube.com/robots.txt		(from https://www.chungdd.online/mau5)
16:05:27	1150/1150	---M--	200	added ('OK')	image/x-icon	date:Fri,%2021%20Feb%202025%2008:11:28%20GMT	https://www.youtube.com/s/desktop/784cc796/img/logos/favicon.ico	/home/chungdd@kaopiz.local/websites/chung2/www.youtube.com/s/desktop/784cc796/img/logos/favicon.ico	(from https://www.youtube.com/)
16:05:28	3214/3214	---M--	200	added ('OK')	image/png	date:Fri,%2021%20Feb%202025%2008:11:28%20GMT	https://www.youtube.com/s/desktop/784cc796/img/logos/favicon_32x32.png	/home/chungdd@kaopiz.local/websites/chung2/www.youtube.com/s/desktop/784cc796/img/logos/favicon_32x32.png	(from https://www.youtube.com/)
16:05:29	3490/3490	---M--	200	added ('OK')	image/png	date:Fri,%2021%20Feb%202025%2008:11:28%20GMT	https://www.youtube.com/s/desktop/784cc796/img/logos/favicon_48x48.png	/home/chungdd@kaopiz.local/websites/chung2/www.youtube.com/s/desktop/784cc796/img/logos/favicon_48x48.png	(from https://www.youtube.com/)
16:05:30	4249/4249	---M--	200	added ('OK')	image/png	date:Fri,%2021%20Feb%202025%2008:11:28%20GMT	https://www.youtube.com/s/desktop/784cc796/img/logos/favicon_96x96.png	/home/chungdd@kaopiz.local/websites/chung2/www.youtube.com/s/desktop/784cc796/img/logos/favicon_96x96.png	(from https://www.youtube.com/)
16:05:31	5020/5020	---M--	200	added ('OK')	image/png	date:Fri,%2021%20Feb%202025%2008:11:28%20GMT	https://www.youtube.com/s/desktop/784cc796/img/logos/favicon_144x144.png	/home/chungdd@kaopiz.local/websites/chung2/www.youtube.com/s/desktop/784cc796/img/logos/favicon_144x144.png	(from https://www.youtube.com/)
16:05:33	0/0	---M--	204	error ('No%20Content')	text/html	date:Mon,%2024%20Feb%202025%2009:05:32%20GMT	https://i.ytimg.com/generate_204	/home/chungdd@kaopiz.local/websites/chung2/i.ytimg.com/generate_204.13.delayed	(from https://www.youtube.com/)
16:05:33	2741/2741	---MC-	200	added ('OK')	text/css	date:Mon,%2024%20Feb%202025%2009:05:33%20GMT	http://fonts.googleapis.com/css2?family=Roboto_old:wght@300;400;500;700&family=YouTube+Sans:wght@300..900&display=swap	/home/chungdd@kaopiz.local/websites/chung2/fonts.googleapis.com/css2d628.css	(from https://www.youtube.com/)
16:05:33	0/0	---M--	303	error ('See%20Other')	application/binary	date:Mon,%2024%20Feb%202025%2009:05:33%20GMT	https://www.youtube.com/android-app://com.google.android.youtube/http/www.youtube.com/	/home/chungdd@kaopiz.local/websites/chung2/www.youtube.com/android-app_/com.google.android.youtube/http/www.youtube.com/index.html	(from https://www.youtube.com/)
16:05:33	0/0	---M--	302	error ('Found')	application/binary	date:Mon,%2024%20Feb%202025%2009:05:32%20GMT	https://m.youtube.com/	/home/chungdd@kaopiz.local/websites/chung2/m.youtube.com/index.html	(from https://www.youtube.com/)
16:05:34	4265/4265	---M--	200	added ('OK')	text/css	date:Fri,%2021%20Feb%202025%2008:11:28%20GMT	https://www.youtube.com/s/desktop/784cc796/cssbin/www-main-desktop-home-page-skeleton.css	/home/chungdd@kaopiz.local/websites/chung2/www.youtube.com/s/desktop/784cc796/cssbin/www-main-desktop-home-page-skeleton.css	(from https://www.youtube.com/)
16:05:35	739/739	---M--	200	added ('OK')	text/css	date:Fri,%2021%20Feb%202025%2008:11:28%20GMT	https://www.youtube.com/s/desktop/784cc796/cssbin/www-onepick.css	/home/chungdd@kaopiz.local/websites/chung2/www.youtube.com/s/desktop/784cc796/cssbin/www-onepick.css	(from https://www.youtube.com/)
16:05:36	0/0	---M--	303	error ('See%20Other')	application/binary	date:Mon,%2024%20Feb%202025%2009:05:35%20GMT	https://www.youtube.com/ios-app://544007664/vnd.youtube/www.youtube.com/	/home/chungdd@kaopiz.local/websites/chung2/www.youtube.com/ios-app_/544007664/vnd.youtube/www.youtube.com/index.html	(from https://www.youtube.com/)
16:05:38	540/540	---MCZ	200	added ('OK')	application/opensearchdescription+xml	date:Mon,%2024%20Feb%202025%2009:05:37%20GMT	https://www.youtube.com/opensearch?locale=en_US	/home/chungdd@kaopiz.local/websites/chung2/www.youtube.com/opensearch97fa	(from https://www.youtube.com/)
16:05:39	1592/1592	---MC-	200	added ('OK')	application/manifest+json	date:Mon,%2024%20Feb%202025%2009:05:38%20GMT	https://www.youtube.com/manifest.webmanifest	/home/chungdd@kaopiz.local/websites/chung2/www.youtube.com/manifest.webmanifest	(from https://www.youtube.com/)
16:05:39	8555/8555	---M--	200	added ('OK')	text/css	date:Fri,%2021%20Feb%202025%2008:11:28%20GMT	https://www.youtube.com/s/desktop/784cc796/cssbin/www-main-desktop-watch-page-skeleton.css	/home/chungdd@kaopiz.local/websites/chung2/www.youtube.com/s/desktop/784cc796/cssbin/www-main-desktop-watch-page-skeleton.css	(from https://www.youtube.com/)
16:05:41	3117635/3117635	---M--	200	added ('OK')	text/css	date:Fri,%2021%20Feb%202025%2004:16:55%20GMT	https://www.youtube.com/s/_/ytmainappweb/_/ss/k=ytmainappweb.kevlar_base.kVtg3sdhyJg.L.X.O/am=AIAgAQ/d=0/rs=AGKMywEYnEN3eLRSoBAoFkWk-hgBN-NP4w	/home/chungdd@kaopiz.local/websites/chung2/www.youtube.com/s/_/ytmainappweb/_/ss/k=ytmainappweb.kevlar_base.kVtg3sdhyJg.L.X.O/am=AIAgAQ/d=0/rs=AGKMywEYnEN3eLRSoBAoFkWk-hgBN-NP4w.css	(from https://www.youtube.com/)
16:05:44	202/202	---M--	200	added ('OK')	text/plain	etag:%221188BF8%22	https://a.pancake.vn/robots.txt		(from https://www.chungdd.online/mau5)
16:05:44	13900/13900	---M--	200	added ('OK')	image/png	date:Mon,%2024%20Feb%202025%2009:05:44%20GMT	https://a.pancake.vn/images/phoenix-5bd99a0d17dd41bc9d9bf6840abcc089.png?vsn=d	/home/chungdd@kaopiz.local/websites/chung2/a.pancake.vn/images/phoenix-5bd99a0d17dd41bc9d9bf6840abcc08924ad.png	(from https://a.pancake.vn/)
16:05:45	1571/1571	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2024%20Feb%202025%2009:05:45%20GMT	https://fonts.gstatic.com/robots.txt		(from https://www.chungdd.online/mau5)
16:05:47	51/51	---MCZ	200	added ('OK')	text/plain	date:Mon,%2024%20Feb%202025%2009:05:46%20GMT	https://fonts.googleapis.com/robots.txt		(from https://www.chungdd.online/mau5)
16:05:48	162/162	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2024%20Feb%202025%2009:05:47%20GMT	https://analytics.tiktok.com/robots.txt		(from https://www.chungdd.online/mau5)
16:05:48	35/35	---M--	400	error ('Bad%20Request')	application/json	date:Mon,%2024%20Feb%202025%2009:05:48%20GMT	https://www.chungdd.online/webcake/v4/v	/home/chungdd@kaopiz.local/websites/chung2/www.chungdd.online/webcake/v4/v.1c.delayed	(from https://www.chungdd.online/webcake/v4/a492f731-fcb6-4446-b229-0e29ade16dbe?v=1)
